ФИО,Пол,Год поступления,Форма обучения,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Телефон,Поступил
Иванов Сергей Иванович,М,2021,очно-заочная,71.2,,,,69.9,,63.2,75.6,72.6,Информатика и вычислительная техника,"Санкт-Петербург, ул. Мира, д. 18, кв. 153",+375136193990,True
Баранова Елена Никитична,Ж,2021,заочная,,46.6,55.8,,,61.1,,83.7,64.5,Химия,"Санкт-Петербург, ул. Ленина, д. 118, кв. 160",+375911838425,True
Соловьёва Ольга Михайловна,Ж,2021,очная,,,68.6,,51.2,,68.8,75.1,67.8,Информатика и вычислительная техника,"Пермь, ул. Центральная, д. 170, кв. 27",+375241182449,True
Кузнецов Егор Михайлович,М,2021,очная,58.6,,73.4,,,69.8,,83.0,73.9,История,"Казань, ул. Мира, д. 190, кв. 114",+375868011280,True
Медведева Виктория Алексеевна,Ж,2021,очная,59.6,,63.9,,,70.9,,83.3,70.1,История,"Екатеринбург, ул. Советская, д. 91, кв. 200",+375869232260,True
Соколов Егор Сергеевич,М,2021,очная,58.0,,,,,57.5,52.6,70.2,62.3,Биология,"Краснодар, ул. Школьная, д. 79, кв. 59",+375303654145,False
Медведева Елена Никитична,Ж,2021,заочная,72.9,82.4,58.7,,,,,83.4,74.9,Медицинская биохимия,"Нижний Новгород, ул. Новая, д. 156, кв. 131",+375169340608,True
Павлова Светлана Никитична,Ж,2021,очная,,,65.8,,61.0,69.8,,86.6,72.9,Химия,"Воронеж, ул. Школьная, д. 104, кв. 179",+375482366299,True
Иванов Андрей Михайлович,М,2021,очная,,,,65.2,79.3,40.0,,82.3,68.8,Биология,"Новосибирск, ул. Советская, д. 73, кв. 132",+375951343320,True
Новиков Михаил Петрович,М,2021,очная,,67.1,,,59.8,63.9,,65.5,64.9,Физика,"Москва, ул. Советская, д. 200, кв. 109",+375328708317,True
Козлов Михаил Никитич,М,2021,заочная,,,,61.1,71.6,78.2,,74.3,72.7,Физика,"Краснодар, ул. Зелёная, д. 67, кв. 193",+375348734714,True
Попов Егор Петрович,М,2021,очная,,58.0,,54.6,,,72.2,79.4,67.5,Экономика,"Екатеринбург, ул. Новая, д. 100, кв. 198",+375909670546,True
Медведева Елена Сергеевна,Ж,2021,очная,,,54.0,67.5,,66.8,,83.2,70.8,Медицинская биохимия,"Краснодар, ул. Мира, д. 160, кв. 137",+375069901627,True
Соколов Илья Никитич,М,2021,очная,,,54.8,65.2,,,59.3,68.6,62.7,Прикладная математика,"Пермь, ул. Ленина, д. 90, кв. 58",+375100330923,False
Новиков Дмитрий Сергеевич,М,2021,очная,,68.0,71.2,,,,66.2,76.0,73.0,Физика,"Санкт-Петербург, ул. Пролетарская, д. 7, кв. 80",+375966319314,True
Морозова Виктория Ивановна,Ж,2021,очная,,,45.5,61.3,,55.7,,72.6,61.9,Медицинская биохимия,"Санкт-Петербург, ул. Новая, д. 93, кв. 163",+375726284987,False
Смирнов Роман Никитич,М,2021,заочная,66.2,,65.5,,,,82.5,78.4,73.2,Медицинская биохимия,"Краснодар, ул. Школьная, д. 47, кв. 125",+375354549480,True
Петров Сергей Сергеевич,М,2021,очно-заочная,,68.5,,64.7,44.7,,,77.2,63.9,Информатика и вычислительная техника,"Екатеринбург, ул. Новая, д. 178, кв. 63",+375495788568,True
Смирнов Михаил Михайлович,М,2021,очная,62.8,91.1,,,,66.6,,79.2,74.3,Физика,"Краснодар, ул. Центральная, д. 186, кв. 151",+375894134352,True
Сидоров Андрей Михайлович,М,2021,очная,65.6,,48.6,,79.1,,,81.9,69.0,Экономика,"Москва, ул. Пролетарская, д. 73, кв. 121",+375775204711,True
Новиков Дмитрий Иванович,М,2021,очная,,,67.8,,52.4,,78.6,69.0,67.6,Медицинская биохимия,"Самара, ул. Победы, д. 199, кв. 134",+375677496499,True
Кузнецов Дмитрий Сергеевич,М,2021,очная,66.6,81.7,,,,49.1,,74.0,69.4,Экономика,"Краснодар, ул. Центральная, д. 9, кв. 60",+375447134936,True
Сидоров Сергей Михайлович,М,2021,заочная,67.9,59.9,,,,,51.7,77.8,65.9,Химия,"Краснодар, ул. Центральная, д. 180, кв. 104",+375488771906,True
Кузьмина Виктория Ивановна,Ж,2021,очная,,,,,57.9,73.7,56.5,86.7,71.4,Химия,"Новосибирск, ул. Зелёная, д. 133, кв. 167",+375742967175,True
Петров Егор Алексеевич,М,2021,очная,,,57.8,59.8,,74.7,,70.0,66.0,Информатика и вычислительная техника,"Нижний Новгород, ул. Центральная, д. 83, кв. 30",+375680876038,True
Лебедев Михаил Иванович,М,2021,очная,,65.7,79.1,,44.1,,,78.5,69.2,Биология,"Казань, ул. Строителей, д. 4, кв. 142",+375613171274,True
Соколов Илья Денисович,М,2021,заочная,,63.0,,68.7,52.6,,,69.5,65.7,Физика,"Казань, ул. Новая, д. 88, кв. 130",+375404499727,True
Соловьёва Александра Владимировна,Ж,2021,очная,,69.9,64.3,,,69.3,,79.5,71.2,Информатика и вычислительная техника,"Краснодар, ул. Новая, д. 99, кв. 170",+375270289517,True
Иванов Михаил Алексеевич,М,2021,очная,56.9,71.0,,,,65.3,,73.1,68.0,Медицинская биохимия,"Нижний Новгород, ул. Строителей, д. 98, кв. 82",+375780913431,True
Петров Дмитрий Денисович,М,2021,очная,80.9,,64.3,,,50.7,,81.3,69.5,Медицинская биохимия,"Пермь, ул. Новая, д. 145, кв. 175",+375222196937,True
Павлова Екатерина Денисовна,Ж,2021,очная,58.2,,71.5,73.5,,,,72.5,67.7,Физика,"Нижний Новгород, ул. Пролетарская, д. 77, кв. 164",+375647436713,True
Новиков Егор Михайлович,М,2021,заочная,71.4,,68.8,74.1,,,,88.8,79.2,Информатика и вычислительная техника,"Краснодар, ул. Центральная, д. 199, кв. 59",+375953394210,True
Иванов Михаил Никитич,М,2021,очно-заочная,64.0,,53.2,,,51.4,,72.5,62.0,История,"Казань, ул. Мира, д. 66, кв. 124",+375451712368,True
Иванов Никита Михайлович,М,2021,очная,,,64.1,70.6,,71.2,,82.4,74.2,Прикладная математика,"Краснодар, ул. Ленина, д. 159, кв. 144",+375593174612,True
Смирнов Александр Денисович,М,2021,очная,,63.0,,,77.2,,65.8,93.7,77.8,Медицинская биохимия,"Новосибирск, ул. Новая, д. 168, кв. 26",+375796405377,True
Морозова Александра Никитична,Ж,2021,очная,69.2,,52.3,,,49.5,,80.3,63.5,Экономика,"Екатеринбург, ул. Пролетарская, д. 6, кв. 13",+375532931839,True
Попов Сергей Алексеевич,М,2021,очно-заочная,65.3,,67.6,,65.0,,,77.0,71.0,Химия,"Санкт-Петербург, ул. Ленина, д. 34, кв. 4",+375539502402,True
Морозова Светлана Петровна,Ж,2021,очная,,,56.5,,48.4,,56.8,82.5,64.8,Информатика и вычислительная техника,"Пермь, ул. Центральная, д. 118, кв. 165",+375007661771,True
Баранова Александра Алексеевна,Ж,2021,очная,,,66.6,,49.8,70.7,,79.7,68.2,Химия,"Самара, ул. Новая, д. 26, кв. 180",+375183673657,True
Попов Дмитрий Владимирович,М,2021,очная,,57.0,65.3,,,,60.5,70.5,62.7,Прикладная математика,"Санкт-Петербург, ул. Школьная, д. 34, кв. 143",+375098851656,False
Кузьмина Анна Михайловна,Ж,2021,очная,,64.1,,,69.4,,78.3,83.7,76.6,История,"Нижний Новгород, ул. Советская, д. 196, кв. 72",+375936899809,True
Соколова Ирина Алексеевна,Ж,2021,очная,,,48.7,,,51.4,65.6,80.5,62.4,Медицинская биохимия,"Москва, ул. Советская, д. 192, кв. 136",+375366752545,False
Баранова Виктория Петровна,Ж,2021,заочная,,64.6,,,98.3,,69.1,84.2,79.7,Медицинская биохимия,"Краснодар, ул. Новая, д. 70, кв. 56",+375815614978,True
Павлова Анна Владимировна,Ж,2021,заочная,71.6,67.6,,,,,57.2,82.0,70.4,Химия,"Санкт-Петербург, ул. Ленина, д. 128, кв. 192",+375622683885,True
Соколов Александр Иванович,М,2021,очная,55.6,,60.7,,60.5,,,77.9,64.0,Химия,"Москва, ул. Школьная, д. 44, кв. 159",+375751613696,True
Кузьмина Елена Никитична,Ж,2021,очная,87.3,41.5,,,,,71.0,67.7,66.4,История,"Новосибирск, ул. Победы, д. 27, кв. 38",+375432921277,True
Фёдорова Виктория Никитична,Ж,2021,заочная,,58.7,74.6,,,66.0,,70.9,68.4,Химия,"Нижний Новгород, ул. Строителей, д. 19, кв. 80",+375770054119,True
Фёдорова Елена Ивановна,Ж,2021,очная,,55.1,,,70.6,,53.2,78.7,66.1,Информатика и вычислительная техника,"Нижний Новгород, ул. Советская, д. 130, кв. 166",+375203778892,True
Соколов Илья Владимирович,М,2021,очно-заочная,67.3,,,,59.0,81.1,,81.2,73.6,Прикладная математика,"Воронеж, ул. Центральная, д. 65, кв. 186",+375925192546,True
Смирнов Дмитрий Владимирович,М,2021,очная,,40.0,67.6,,57.5,,,82.5,64.1,Информатика и вычислительная техника,"Новосибирск, ул. Победы, д. 88, кв. 197",+375733221418,True
Соколова Светлана Никитична,Ж,2021,заочная,,54.8,,,59.5,,72.4,82.6,70.2,Физика,"Москва, ул. Новая, д. 94, кв. 174",+375379473834,True
Павлова Наталья Никитична,Ж,2021,очно-заочная,,,,54.7,63.4,59.3,,73.5,66.0,Медицинская биохимия,"Екатеринбург, ул. Пролетарская, д. 36, кв. 65",+375075818141,False
Фёдорова Ирина Алексеевна,Ж,2021,заочная,85.5,72.4,,50.5,,,,82.9,74.2,Медицинская биохимия,"Екатеринбург, ул. Новая, д. 21, кв. 96",+375305152204,True
Васильева Наталья Денисовна,Ж,2021,очная,82.8,,,,,77.7,49.3,74.5,70.0,Медицинская биохимия,"Казань, ул. Победы, д. 78, кв. 32",+375036971179,True
Баранова Светлана Сергеевна,Ж,2021,очно-заочная,77.8,,54.3,67.6,,,,82.0,72.1,Прикладная математика,"Нижний Новгород, ул. Советская, д. 135, кв. 140",+375888067065,True
Попов Александр Петрович,М,2021,очная,57.4,,,,,65.8,40.0,71.3,59.7,Информатика и вычислительная техника,"Нижний Новгород, ул. Мира, д. 200, кв. 176",+375772217043,False
Иванов Сергей Никитич,М,2021,заочная,,,,61.2,46.9,,81.8,68.8,64.7,Химия,"Москва, ул. Школьная, д. 70, кв. 32",+375566765277,True
Смирнов Андрей Петрович,М,2021,очно-заочная,64.6,,,62.1,76.4,,,68.8,66.4,Прикладная математика,"Казань, ул. Центральная, д. 115, кв. 155",+375627570596,False
Петров Александр Владимирович,М,2021,очная,,80.2,,,,60.5,55.3,80.2,68.7,Экономика,"Санкт-Петербург, ул. Победы, д. 200, кв. 166",+375556909275,True
Новиков Дмитрий Алексеевич,М,2021,очная,,,63.5,54.1,,67.1,,75.1,66.4,Экономика,"Пермь, ул. Советская, д. 68, кв. 199",+375473947312,True
Васильева Наталья Денисовна,Ж,2021,заочная,,,66.8,,,72.7,80.4,70.0,73.7,Химия,"Новосибирск, ул. Мира, д. 93, кв. 131",+375313237058,True
Медведева Наталья Алексеевна,Ж,2021,очная,84.3,,46.6,,,,62.3,80.9,71.3,Медицинская биохимия,"Самара, ул. Советская, д. 33, кв. 82",+375177852892,True
Егорова Екатерина Ивановна,Ж,2021,заочная,,63.5,56.0,,64.0,,,74.4,67.6,История,"Пермь, ул. Центральная, д. 21, кв. 65",+375384249818,True
Баранова Виктория Алексеевна,Ж,2021,очная,,,,,56.5,76.7,63.0,73.2,66.5,Информатика и вычислительная техника,"Самара, ул. Центральная, д. 167, кв. 54",+375969078447,True
Смирнов Никита Денисович,М,2021,очная,72.2,66.7,,70.5,,,,81.2,73.0,Физика,"Нижний Новгород, ул. Школьная, д. 103, кв. 34",+375588153714,True
Петров Максим Иванович,М,2021,очная,,,,53.2,62.1,,68.1,81.1,69.9,История,"Нижний Новгород, ул. Победы, д. 196, кв. 41",+375787747016,True
Кузнецов Сергей Никитич,М,2021,очная,,,67.6,66.7,76.5,,,73.9,72.9,Информатика и вычислительная техника,"Воронеж, ул. Мира, д. 68, кв. 187",+375565060983,True
Петров Илья Владимирович,М,2021,очная,,,72.7,,63.2,,62.9,84.0,74.4,Физика,"Воронеж, ул. Школьная, д. 87, кв. 143",+375523986800,True
Лебедев Егор Денисович,М,2021,очная,,76.6,70.3,,76.0,,,77.5,75.8,Химия,"Пермь, ул. Строителей, д. 137, кв. 126",+375947055169,True
Новиков Александр Денисович,М,2021,очная,,,,,68.1,56.4,67.0,76.6,66.9,Медицинская биохимия,"Екатеринбург, ул. Ленина, д. 147, кв. 180",+375130756263,True
Лебедев Роман Иванович,М,2021,очно-заочная,,63.2,,,71.6,,56.1,90.0,74.7,История,"Краснодар, ул. Строителей, д. 88, кв. 140",+375549733484,True
Смирнов Илья Сергеевич,М,2021,очно-заочная,,,52.4,56.2,,,78.5,82.1,68.4,Химия,"Самара, ул. Строителей, д. 98, кв. 102",+375524041574,True
Павлова Ольга Михайловна,Ж,2021,заочная,,66.3,72.7,,,61.3,,72.0,69.3,Информатика и вычислительная техника,"Пермь, ул. Победы, д. 164, кв. 60",+375016571208,True
Егорова Екатерина Денисовна,Ж,2021,очная,,62.6,52.8,,,76.4,,76.5,68.5,Биология,"Москва, ул. Мира, д. 107, кв. 46",+375067240049,True
Кузьмина Александра Денисовна,Ж,2021,заочная,,,,59.6,57.1,,68.2,74.0,64.7,Химия,"Санкт-Петербург, ул. Школьная, д. 42, кв. 188",+375742054932,True
Егорова Елена Никитична,Ж,2021,очная,60.6,66.2,,,,70.8,,74.4,67.9,Информатика и вычислительная техника,"Екатеринбург, ул. Зелёная, д. 193, кв. 69",+375549904530,True
Кузьмина Наталья Алексеевна,Ж,2021,очная,,,61.2,,67.7,53.9,,69.0,64.2,История,"Екатеринбург, ул. Мира, д. 123, кв. 40",+375795687833,True
Морозова Виктория Денисовна,Ж,2021,очная,52.9,,65.2,,71.1,,,86.3,71.5,Биология,"Новосибирск, ул. Мира, д. 84, кв. 134",+375713971870,True
Соколов Андрей Денисович,М,2021,очная,,,74.8,61.4,67.0,,,71.4,69.3,Биология,"Москва, ул. Новая, д. 89, кв. 180",+375180170462,True
Соловьёва Елена Владимировна,Ж,2021,очная,65.6,,,62.7,,,67.6,72.4,66.3,История,"Пермь, ул. Новая, д. 136, кв. 33",+375300478686,True
Фёдорова Ольга Никитична,Ж,2021,очная,64.5,80.9,,,,64.1,,79.8,72.3,Информатика и вычислительная техника,"Санкт-Петербург, ул. Советская, д. 153, кв. 9",+375790306738,True
Сидоров Александр Михайлович,М,2021,очная,,,71.7,,62.7,69.4,,77.5,70.5,Биология,"Новосибирск, ул. Строителей, д. 57, кв. 106",+375440892687,True
Соколов Егор Никитич,М,2021,очно-заочная,,63.7,58.8,64.0,,,,80.4,67.8,Биология,"Новосибирск, ул. Зелёная, д. 15, кв. 144",+375668826343,True
Лебедев Дмитрий Никитич,М,2021,очная,76.2,75.3,,,,86.6,,72.8,75.8,Прикладная математика,"Самара, ул. Строителей, д. 56, кв. 123",+375354033173,True
Егорова Ольга Сергеевна,Ж,2021,очная,,,72.4,67.3,,,84.0,72.6,73.9,История,"Краснодар, ул. Зелёная, д. 26, кв. 185",+375753556093,True
Кузьмина Анна Владимировна,Ж,2021,очная,,54.4,61.3,,,,42.8,74.2,59.3,История,"Краснодар, ул. Зелёная, д. 118, кв. 44",+375522872808,False
Иванов Дмитрий Иванович,М,2021,очная,,52.1,,,,62.0,64.6,88.7,69.3,Экономика,"Самара, ул. Пролетарская, д. 124, кв. 169",+375700886008,True
Кузьмина Светлана Ивановна,Ж,2021,очная,,,,76.6,,62.3,51.1,80.4,69.4,Прикладная математика,"Екатеринбург, ул. Победы, д. 159, кв. 135",+375454615679,True
Смирнов Сергей Петрович,М,2021,очно-заочная,46.7,,,,,81.1,76.3,74.6,70.9,Информатика и вычислительная техника,"Новосибирск, ул. Советская, д. 128, кв. 112",+375591803397,True
Смирнов Дмитрий Иванович,М,2021,очная,51.5,,78.4,,,,65.4,84.8,73.7,Медицинская биохимия,"Казань, ул. Мира, д. 145, кв. 62",+375968562185,True
Кузнецов Никита Петрович,М,2021,очная,,,,,47.0,60.7,59.3,77.7,64.5,Химия,"Краснодар, ул. Зелёная, д. 59, кв. 92",+375866296194,True
Морозова Мария Михайловна,Ж,2021,очная,,61.9,,,,68.4,49.4,76.5,67.5,Информатика и вычислительная техника,"Краснодар, ул. Школьная, д. 195, кв. 70",+375121267888,True
Петров Александр Никитич,М,2021,очная,,,68.8,,64.3,,70.3,70.7,69.7,Прикладная математика,"Пермь, ул. Победы, д. 147, кв. 134",+375262244472,True
Смирнов Никита Владимирович,М,2021,очная,46.2,,74.2,,,,68.6,72.9,66.3,Биология,"Новосибирск, ул. Центральная, д. 2, кв. 102",+375596575692,True
Кузнецов Роман Денисович,М,2021,очная,,,81.9,66.5,,80.5,,77.8,76.1,Биология,"Казань, ул. Новая, д. 94, кв. 30",+375939828073,True
Петров Илья Владимирович,М,2021,очно-заочная,,82.0,83.1,,,63.7,,83.2,77.0,Медицинская биохимия,"Самара, ул. Зелёная, д. 150, кв. 103",+375886805891,True
Попов Сергей Алексеевич,М,2021,очная,75.1,,,76.0,57.3,,,81.5,71.7,Прикладная математика,"Казань, ул. Победы, д. 131, кв. 192",+375889937567,True
Медведева Виктория Алексеевна,Ж,2021,очная,72.5,,,50.6,,,48.0,65.2,59.3,Физика,"Нижний Новгород, ул. Зелёная, д. 53, кв. 134",+375757177514,False
Иванов Дмитрий Никитич,М,2021,очная,,61.5,,,,71.7,77.3,77.8,74.7,Медицинская биохимия,"Екатеринбург, ул. Новая, д. 162, кв. 48",+375266093796,True
Кузнецов Сергей Михайлович,М,2021,очно-заочная,76.3,,,,53.9,,43.8,77.1,63.5,История,"Санкт-Петербург, ул. Центральная, д. 172, кв. 126",+375859696915,True
Новиков Михаил Алексеевич,М,2021,заочная,,,68.7,,65.4,41.5,,76.9,64.2,Биология,"Новосибирск, ул. Школьная, д. 178, кв. 37",+375866929662,True
Сидоров Андрей Алексеевич,М,2021,очная,,54.4,71.9,,,,71.3,71.8,67.9,Информатика и вычислительная техника,"Екатеринбург, ул. Новая, д. 144, кв. 130",+375767677219,True
Смирнов Сергей Иванович,М,2021,очная,,61.7,54.1,,66.1,,,83.1,68.7,Экономика,"Санкт-Петербург, ул. Пролетарская, д. 30, кв. 69",+375858078361,True
Кузьмина Ольга Ивановна,Ж,2021,очная,57.8,,65.2,61.8,,,,72.6,66.7,Биология,"Самара, ул. Школьная, д. 182, кв. 157",+375629233095,True
Медведева Виктория Алексеевна,Ж,2021,очная,,,63.7,,,58.2,58.6,70.2,62.2,Прикладная математика,"Воронеж, ул. Ленина, д. 71, кв. 168",+375223253672,False
Егорова Ирина Владимировна,Ж,2021,очная,83.8,,,62.1,,61.4,,78.7,72.3,История,"Краснодар, ул. Школьная, д. 149, кв. 1",+375175186363,True
Смирнов Егор Никитич,М,2021,очная,,65.8,,65.7,72.8,,,81.9,71.3,Информатика и вычислительная техника,"Краснодар, ул. Ленина, д. 32, кв. 41",+375770632424,True
Смирнов Егор Петрович,М,2021,очная,57.7,56.3,,,,63.2,,63.6,60.4,Биология,"Санкт-Петербург, ул. Советская, д. 1, кв. 55",+375712938700,False
Егорова Мария Алексеевна,Ж,2021,очная,51.2,73.7,,78.6,,,,75.9,69.2,Химия,"Новосибирск, ул. Мира, д. 18, кв. 136",+375909275326,True
Павлова Наталья Петровна,Ж,2021,заочная,72.1,65.6,,,94.1,,,84.1,78.6,Физика,"Санкт-Петербург, ул. Победы, д. 142, кв. 154",+375994043898,True
Смирнов Никита Иванович,М,2021,очно-заочная,,61.6,,51.9,,,49.3,78.6,62.9,Прикладная математика,"Москва, ул. Школьная, д. 82, кв. 34",+375696582710,False
Кузьмина Анна Сергеевна,Ж,2021,очная,54.3,,,51.9,60.2,,,70.9,61.7,Медицинская биохимия,"Санкт-Петербург, ул. Строителей, д. 138, кв. 158",+375241418328,False
Петров Роман Михайлович,М,2021,очно-заочная,78.3,77.1,,,,60.1,,86.3,76.1,Информатика и вычислительная техника,"Новосибирск, ул. Советская, д. 4, кв. 182",+375202758842,True
Петров Илья Иванович,М,2021,очная,,,60.4,57.5,80.0,,,80.6,71.1,Прикладная математика,"Пермь, ул. Школьная, д. 15, кв. 128",+375925241913,True
Соколова Анна Ивановна,Ж,2021,очная,,,57.8,58.9,,,59.8,69.1,62.6,Информатика и вычислительная техника,"Воронеж, ул. Победы, д. 83, кв. 64",+375654195180,True
Иванов Андрей Владимирович,М,2021,очная,,,71.5,83.6,,45.1,,80.8,70.8,Биология,"Казань, ул. Пролетарская, д. 63, кв. 119",+375597383206,True
Попов Андрей Иванович,М,2021,заочная,61.0,,,61.4,,54.1,,72.2,63.2,Биология,"Москва, ул. Мира, д. 183, кв. 72",+375103865719,True
Соколов Максим Петрович,М,2021,очная,61.9,53.3,,64.9,,,,77.1,66.8,Медицинская биохимия,"Нижний Новгород, ул. Школьная, д. 116, кв. 70",+375313291212,True
Соколов Егор Петрович,М,2021,очная,,59.7,,52.6,,,54.4,81.9,66.0,Физика,"Казань, ул. Пролетарская, д. 11, кв. 56",+375521356804,True
Иванов Максим Владимирович,М,2021,заочная,,,,,66.5,53.8,68.0,81.9,67.9,Физика,"Москва, ул. Победы, д. 34, кв. 51",+375651994101,True
Сидоров Михаил Петрович,М,2021,заочная,42.7,,69.0,,,,54.1,80.8,65.5,Медицинская биохимия,"Воронеж, ул. Зелёная, д. 8, кв. 98",+375625324472,False
Новиков Роман Сергеевич,М,2021,очная,,,,56.2,41.8,,46.6,77.7,57.3,Медицинская биохимия,"Пермь, ул. Победы, д. 162, кв. 140",+375065787598,False
Сидоров Илья Иванович,М,2021,очная,62.2,59.9,70.7,,,,,67.4,67.3,Биология,"Санкт-Петербург, ул. Победы, д. 169, кв. 62",+375480396522,True
Попов Егор Иванович,М,2021,очно-заочная,,,59.8,,56.4,60.8,,77.7,65.7,Экономика,"Новосибирск, ул. Зелёная, д. 10, кв. 24",+375039308705,True
Васильева Ольга Никитична,Ж,2021,очно-заочная,50.6,,61.0,,,,78.2,73.9,68.4,Прикладная математика,"Нижний Новгород, ул. Советская, д. 96, кв. 181",+375691545226,True
Соловьёва Наталья Алексеевна,Ж,2021,очно-заочная,,,,,75.2,49.9,70.2,86.0,71.9,Физика,"Казань, ул. Мира, д. 46, кв. 187",+375096902959,True
Петров Роман Денисович,М,2021,очная,40.0,54.2,,,,71.1,,76.2,63.8,Прикладная математика,"Нижний Новгород, ул. Зелёная, д. 3, кв. 68",+375331541006,False
Сидоров Никита Владимирович,М,2021,очная,,,66.5,61.2,67.8,,,76.5,67.8,Биология,"Санкт-Петербург, ул. Ленина, д. 76, кв. 6",+375541152621,True
Соловьёва Мария Денисовна,Ж,2021,очно-заочная,,76.8,,65.9,,62.9,,74.9,69.6,История,"Екатеринбург, ул. Новая, д. 179, кв. 142",+375844431069,True
Васильева Наталья Ивановна,Ж,2021,очная,62.4,,60.9,67.7,,,,74.9,65.7,Прикладная математика,"Новосибирск, ул. Центральная, д. 21, кв. 122",+375146774186,False
Попов Никита Алексеевич,М,2021,очная,,,64.5,88.1,,73.4,,75.4,76.4,Физика,"Санкт-Петербург, ул. Советская, д. 172, кв. 89",+375869380686,True
Баранова Наталья Сергеевна,Ж,2021,очная,76.0,,,63.9,,,46.6,71.4,63.9,Физика,"Краснодар, ул. Мира, д. 43, кв. 55",+375320616329,False
Петров Дмитрий Владимирович,М,2021,очная,,,45.5,,64.7,59.3,,87.5,65.8,Медицинская биохимия,"Новосибирск, ул. Мира, д. 146, кв. 151",+375911914856,False
Новиков Михаил Денисович,М,2021,очная,,68.5,63.6,71.3,,,,64.1,68.1,Медицинская биохимия,"Нижний Новгород, ул. Победы, д. 13, кв. 191",+375745054447,True
Павлова Мария Алексеевна,Ж,2021,очная,,,64.1,70.9,,50.7,,84.3,69.5,Биология,"Воронеж, ул. Зелёная, д. 195, кв. 133",+375508214862,True
Баранова Светлана Ивановна,Ж,2021,очная,64.9,59.4,,,,,74.5,91.0,74.0,Биология,"Краснодар, ул. Строителей, д. 102, кв. 163",+375103579727,True
Соловьёва Александра Алексеевна,Ж,2021,заочная,63.7,,65.3,,,56.0,,72.3,66.8,Биология,"Екатеринбург, ул. Победы, д. 69, кв. 167",+375680072290,True
Смирнов Роман Михайлович,М,2021,очная,,,69.8,55.1,,,66.5,74.5,67.9,Медицинская биохимия,"Москва, ул. Строителей, д. 170, кв. 96",+375899441715,True
Кузьмина Александра Михайловна,Ж,2021,очно-заочная,,65.3,70.0,,,78.4,,74.3,72.9,Медицинская биохимия,"Новосибирск, ул. Ленина, д. 168, кв. 128",+375446660993,True
Козлов Сергей Денисович,М,2021,заочная,,,59.3,,50.9,61.1,,79.7,64.2,Физика,"Краснодар, ул. Мира, д. 190, кв. 67",+375825135346,False
Соловьёва Александра Михайловна,Ж,2021,очная,67.1,,,56.1,,,73.5,85.5,72.4,Прикладная математика,"Екатеринбург, ул. Строителей, д. 31, кв. 175",+375684602235,True
Лебедев Роман Алексеевич,М,2021,очная,68.0,84.1,,,,53.0,,69.9,66.9,Информатика и вычислительная техника,"Казань, ул. Победы, д. 195, кв. 199",+375292712966,True
Соколов Михаил Иванович,М,2021,очная,,50.7,82.9,,,73.1,,77.1,69.8,Биология,"Москва, ул. Победы, д. 58, кв. 178",+375542168942,True
Смирнов Александр Михайлович,М,2021,очная,,,,,65.2,56.6,93.4,78.2,76.0,История,"Краснодар, ул. Школьная, д. 193, кв. 49",+375260332309,True
