ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении
Попов Сергей Петрович,М,2021,очная,Прикладная математика,"Новосибирск, ул. Школьная, д. 92, кв. 113",+375685906249,67.2,,,,67.3,64.5,,78.9,70.23333333333333,69.7
Егорова Мария Петровна,Ж,2021,заочная,Химия,"Самара, ул. Центральная, д. 188, кв. 24",+375394459957,80.3,54.3,,71.7,,,,80.7,68.89999999999999,74.7
Соловьёва Александра Михайловна,Ж,2021,очная,Прикладная математика,"Нижний Новгород, ул. Школьная, д. 47, кв. 30",+375787190911,79.4,,,76.1,71.3,78.7,,,75.36666666666666,75.0
Лебедев Александр Петрович,М,2021,заочная,Прикладная математика,"Воронеж, ул. Новая, д. 117, кв. 70",+375296105825,75.5,76.2,,,62.1,,,75.1,71.13333333333334,73.8
Петров Никита Михайлович,М,2021,очная,Экономика,"Воронеж, ул. Зелёная, д. 108, кв. 167",+375204936596,83.4,65.5,60.2,,49.3,,,,58.333333333333336,67.9
Попов Роман Сергеевич,М,2021,очная,История,"Новосибирск, ул. Советская, д. 34, кв. 179",+375436657394,71.4,65.7,,71.3,,88.2,,,75.06666666666666,72.8
Иванов Дмитрий Сергеевич,М,2021,очная,История,"Москва, ул. Мира, д. 27, кв. 107",+375307045542,79.7,55.6,,,,73.2,60.6,,63.13333333333333,69.8
Морозова Ирина Сергеевна,Ж,2021,очно-заочная,Информатика и вычислительная техника,"Самара, ул. Зелёная, д. 146, кв. 174",+375471587776,77.7,,81.8,,,60.2,,70.7,70.89999999999999,74.1
Соколов Дмитрий Михайлович,М,2021,очная,Медицинская биохимия,"Краснодар, ул. Мира, д. 157, кв. 98",+375751170553,73.0,,,66.5,63.3,64.5,,,64.76666666666667,67.5
Попов Михаил Алексеевич,М,2021,очная,Экономика,"Нижний Новгород, ул. Пролетарская, д. 8, кв. 176",+375922023425,74.4,70.6,,,40.0,50.5,,,53.699999999999996,61.7
Соловьёва Александра Сергеевна,Ж,2021,очная,Прикладная математика,"Новосибирск, ул. Зелёная, д. 125, кв. 29",+375425571036,74.0,,45.5,78.1,,,,63.0,62.199999999999996,66.1
Петров Илья Алексеевич,М,2021,очная,Экономика,"Воронеж, ул. Зелёная, д. 12, кв. 17",+375922449283,78.9,,71.5,,,47.2,51.0,,56.56666666666666,63.7
Кузнецов Андрей Алексеевич,М,2021,заочная,Информатика и вычислительная техника,"Казань, ул. Школьная, д. 4, кв. 181",+375219832671,81.0,,,,69.8,65.7,,60.8,65.43333333333334,70.7
Соколов Михаил Михайлович,М,2021,очная,История,"Пермь, ул. Пролетарская, д. 186, кв. 145",+375644241350,74.8,58.0,,,68.6,,66.5,,64.36666666666666,69.6
Кузнецов Андрей Никитич,М,2021,заочная,Химия,"Екатеринбург, ул. Школьная, д. 133, кв. 134",+375935816517,73.1,,,,52.1,53.9,,63.4,56.46666666666667,61.8
Павлова Анна Ивановна,Ж,2021,очная,Биология,"Самара, ул. Советская, д. 111, кв. 170",+375644688859,78.2,,72.1,71.7,,,67.2,,70.33333333333333,72.7
Соколов Егор Михайлович,М,2021,очная,Информатика и вычислительная техника,"Екатеринбург, ул. Зелёная, д. 89, кв. 170",+375520630755,67.5,58.9,,,50.3,,,52.0,53.73333333333333,59.0
Кузнецов Дмитрий Никитич,М,2021,очно-заочная,Экономика,"Воронеж, ул. Мира, д. 143, кв. 157",+375101310675,77.6,,,57.4,,62.7,,61.0,60.36666666666667,67.4
Фёдорова Ольга Владимировна,Ж,2021,очно-заочная,Химия,"Москва, ул. Ленина, д. 165, кв. 41",+375352791405,86.8,,,,68.5,,57.7,77.1,67.76666666666667,75.4
Сидоров Михаил Михайлович,М,2021,очная,Биология,"Пермь, ул. Зелёная, д. 127, кв. 43",+375135977537,73.2,,61.0,52.2,,,57.1,,56.76666666666667,60.6
Павлова Екатерина Михайловна,Ж,2021,очная,Физика,"Санкт-Петербург, ул. Зелёная, д. 83, кв. 62",+375790336674,76.3,,,67.1,,51.7,,65.8,61.53333333333333,67.5
Соколов Роман Владимирович,М,2021,очно-заочная,Информатика и вычислительная техника,"Нижний Новгород, ул. Центральная, д. 13, кв. 130",+375678223490,83.5,72.7,52.1,,,68.7,,,64.5,71.0
Кузнецов Егор Алексеевич,М,2021,очная,Информатика и вычислительная техника,"Екатеринбург, ул. Строителей, д. 165, кв. 97",+375687436460,81.9,48.7,,49.2,,63.0,,,53.63333333333333,63.6
Фёдорова Светлана Петровна,Ж,2021,заочная,Физика,"Воронеж, ул. Победы, д. 21, кв. 118",+375092116913,77.8,66.6,,,46.7,,,62.2,58.5,65.5
Морозова Анна Алексеевна,Ж,2021,заочная,Физика,"Краснодар, ул. Пролетарская, д. 115, кв. 23",+375157934324,77.0,,58.3,,,45.0,,43.6,48.96666666666667,59.7
Егорова Екатерина Петровна,Ж,2021,очно-заочная,Информатика и вычислительная техника,"Краснодар, ул. Зелёная, д. 81, кв. 31",+375877776777,70.0,,69.3,59.5,59.1,,,,62.63333333333333,66.5
Соколов Никита Денисович,М,2021,очная,Физика,"Краснодар, ул. Ленина, д. 27, кв. 104",+375960334953,80.3,,,55.7,,60.0,,48.0,54.56666666666666,64.2
Смирнов Андрей Иванович,М,2021,очно-заочная,Прикладная математика,"Воронеж, ул. Ленина, д. 143, кв. 141",+375157765164,69.3,,,61.2,,,47.4,62.2,56.93333333333334,61.5
Медведева Мария Михайловна,Ж,2021,очная,Биология,"Москва, ул. Советская, д. 155, кв. 159",+375597726006,65.0,,,,43.8,,62.6,70.7,59.03333333333334,60.6
Петров Егор Михайлович,М,2021,очная,Биология,"Казань, ул. Строителей, д. 144, кв. 53",+375986947185,83.4,,64.4,64.9,,,,52.5,60.6,67.1
Сидоров Никита Денисович,М,2021,очная,Биология,"Краснодар, ул. Школьная, д. 94, кв. 14",+375812709660,79.7,,65.0,50.0,66.6,,,,60.53333333333333,69.1
Смирнов Александр Алексеевич,М,2021,очная,Прикладная математика,"Екатеринбург, ул. Зелёная, д. 85, кв. 144",+375873941852,82.7,52.6,,80.8,,76.0,,,69.8,74.2
Петров Андрей Михайлович,М,2021,заочная,Медицинская биохимия,"Самара, ул. Пролетарская, д. 122, кв. 184",+375682166387,73.0,69.2,68.1,,,,56.2,,64.5,67.7
Баранова Светлана Сергеевна,Ж,2021,очно-заочная,Физика,"Нижний Новгород, ул. Зелёная, д. 30, кв. 25",+375004528953,80.2,78.8,,,67.0,78.4,,,74.73333333333333,77.7
Попов Максим Алексеевич,М,2021,очно-заочная,Химия,"Екатеринбург, ул. Ленина, д. 88, кв. 91",+375678557422,74.8,64.5,84.6,,,,62.3,,70.46666666666665,70.3
Медведева Светлана Ивановна,Ж,2021,очная,Физика,"Казань, ул. Строителей, д. 134, кв. 96",+375515576785,75.4,,,,62.3,63.7,,53.3,59.76666666666667,66.7
Попов Роман Денисович,М,2021,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Ленина, д. 43, кв. 127",+375292043884,83.2,,,,71.6,61.0,,67.2,66.60000000000001,73.6
Морозова Анна Никитична,Ж,2021,очная,История,"Новосибирск, ул. Новая, д. 28, кв. 66",+375936539103,76.5,63.6,,,,,67.3,69.6,66.83333333333333,71.3
Павлова Ирина Ивановна,Ж,2021,заочная,Экономика,"Самара, ул. Победы, д. 49, кв. 31",+375305300079,73.2,55.7,,,54.2,64.7,,,58.20000000000001,61.5
Новиков Сергей Петрович,М,2021,очная,Экономика,"Воронеж, ул. Победы, д. 118, кв. 49",+375716779640,69.2,53.6,,57.7,,,55.3,,55.53333333333334,60.4
Фёдорова Мария Петровна,Ж,2021,заочная,Биология,"Нижний Новгород, ул. Советская, д. 194, кв. 107",+375861510611,79.6,,,,75.7,65.8,,48.6,63.36666666666667,67.3
Васильева Светлана Алексеевна,Ж,2021,очная,Физика,"Москва, ул. Пролетарская, д. 32, кв. 198",+375446072383,83.8,,75.4,62.7,79.8,,,,72.63333333333334,76.7
Медведева Наталья Алексеевна,Ж,2021,очная,Химия,"Краснодар, ул. Зелёная, д. 169, кв. 151",+375946308385,72.7,77.5,,,,,71.8,59.1,69.46666666666667,71.5
Медведева Ирина Владимировна,Ж,2021,очно-заочная,Информатика и вычислительная техника,"Пермь, ул. Мира, д. 128, кв. 2",+375021808877,81.5,55.1,,64.1,71.9,,,,63.699999999999996,68.4
Медведева Ольга Сергеевна,Ж,2021,очная,Прикладная математика,"Пермь, ул. Ленина, д. 142, кв. 111",+375079260094,71.7,56.2,78.2,,56.2,,,,63.53333333333334,67.2
Егорова Ирина Никитична,Ж,2021,заочная,Медицинская биохимия,"Самара, ул. Зелёная, д. 131, кв. 200",+375476755154,81.9,48.6,55.1,,,,56.8,,53.5,63.2
Козлов Михаил Денисович,М,2021,заочная,Прикладная математика,"Новосибирск, ул. Пролетарская, д. 45, кв. 188",+375257802270,77.6,,,54.8,,,85.6,40.0,60.133333333333326,67.5
Кузнецов Дмитрий Сергеевич,М,2021,очная,Химия,"Новосибирск, ул. Советская, д. 100, кв. 169",+375421726052,79.0,78.7,65.5,,,60.3,,,68.16666666666667,72.1
Попов Дмитрий Иванович,М,2021,очная,Информатика и вычислительная техника,"Самара, ул. Пролетарская, д. 83, кв. 130",+375751564233,73.2,,68.3,82.5,,,55.6,,68.8,69.7
Козлов Роман Сергеевич,М,2021,очная,Биология,"Воронеж, ул. Новая, д. 156, кв. 178",+375590393908,79.5,,51.4,78.3,70.2,,,,66.63333333333333,70.5
Кузнецов Роман Иванович,М,2021,заочная,Физика,"Екатеринбург, ул. Центральная, д. 102, кв. 88",+375362927709,73.8,47.0,,71.1,49.7,,,,55.93333333333334,63.8
Иванов Дмитрий Сергеевич,М,2021,очная,Информатика и вычислительная техника,"Казань, ул. Зелёная, д. 35, кв. 36",+375170771358,74.9,,,,,66.2,76.3,69.2,70.56666666666666,71.9
Соколова Мария Никитична,Ж,2021,очная,Экономика,"Воронеж, ул. Пролетарская, д. 180, кв. 192",+375776812975,68.3,50.8,57.1,,,,,55.5,54.46666666666667,58.9
Козлов Дмитрий Сергеевич,М,2021,очная,Медицинская биохимия,"Пермь, ул. Центральная, д. 180, кв. 141",+375989379227,72.8,,,,61.9,,80.3,68.6,70.26666666666667,69.3
Лебедев Илья Сергеевич,М,2021,очно-заочная,Прикладная математика,"Нижний Новгород, ул. Строителей, д. 162, кв. 56",+375429028491,74.2,59.9,,70.0,,76.0,,,68.63333333333334,70.0
Васильева Светлана Денисовна,Ж,2021,очная,Медицинская биохимия,"Екатеринбург, ул. Победы, д. 160, кв. 183",+375613636605,79.3,,70.7,,66.5,63.7,,,66.96666666666665,72.7
Лебедев Сергей Владимирович,М,2021,очно-заочная,Медицинская биохимия,"Казань, ул. Школьная, д. 173, кв. 34",+375812948303,81.0,,67.3,,,66.7,,79.2,71.06666666666666,75.6
Морозова Ольга Петровна,Ж,2021,заочная,Химия,"Новосибирск, ул. Строителей, д. 139, кв. 178",+375540359938,73.8,,,,,54.7,40.7,64.9,53.43333333333334,59.4
Попов Никита Владимирович,М,2021,очная,Химия,"Нижний Новгород, ул. Советская, д. 195, кв. 91",+375478945063,76.4,73.1,66.6,,,74.4,,,71.36666666666666,72.8
Фёдорова Елена Ивановна,Ж,2021,очная,Физика,"Пермь, ул. Зелёная, д. 150, кв. 147",+375142576271,87.5,60.0,52.6,,,81.3,,,64.63333333333333,71.4
Соколова Мария Владимировна,Ж,2021,заочная,Химия,"Воронеж, ул. Строителей, д. 74, кв. 109",+375983076494,78.2,,81.0,53.5,,55.3,,,63.26666666666667,70.3
Петров Егор Сергеевич,М,2021,очная,Химия,"Москва, ул. Строителей, д. 28, кв. 7",+375647548107,74.2,,73.6,,,58.2,,48.2,60.0,65.4
Кузнецов Сергей Денисович,М,2021,заочная,Информатика и вычислительная техника,"Воронеж, ул. Мира, д. 14, кв. 172",+375269759869,67.3,,51.2,71.2,,,63.0,,61.800000000000004,64.7
Егорова Екатерина Алексеевна,Ж,2021,очная,Экономика,"Москва, ул. Победы, д. 69, кв. 193",+375471638065,72.3,64.9,,,,,59.7,48.2,57.6,63.6
Фёдорова Ирина Сергеевна,Ж,2021,очная,Биология,"Новосибирск, ул. Центральная, д. 175, кв. 65",+375740089594,72.0,,,,,62.7,62.3,62.0,62.333333333333336,67.2
Фёдорова Мария Петровна,Ж,2021,заочная,Физика,"Новосибирск, ул. Ленина, д. 177, кв. 76",+375055270059,89.3,,,64.9,,55.2,,56.1,58.73333333333334,71.2
Медведева Анна Ивановна,Ж,2021,очная,Информатика и вычислительная техника,"Екатеринбург, ул. Строителей, д. 9, кв. 92",+375050527504,72.3,58.5,,,60.5,,,68.1,62.36666666666667,64.0
Кузнецов Дмитрий Алексеевич,М,2021,очная,Биология,"Краснодар, ул. Советская, д. 158, кв. 173",+375725459068,77.7,77.4,,,,,73.2,76.7,75.76666666666667,78.3
Лебедев Никита Денисович,М,2021,очная,Медицинская биохимия,"Пермь, ул. Победы, д. 191, кв. 166",+375194935511,79.6,,,62.3,55.7,,,64.6,60.86666666666667,68.9
Соколов Сергей Иванович,М,2021,очная,Информатика и вычислительная техника,"Пермь, ул. Новая, д. 61, кв. 131",+375308662202,84.0,,,53.2,62.5,,,65.4,60.366666666666674,68.2
Егорова Екатерина Ивановна,Ж,2021,очная,История,"Казань, ул. Ленина, д. 98, кв. 100",+375233297706,77.4,57.0,,,,54.5,44.0,,51.833333333333336,62.1
Кузьмина Елена Денисовна,Ж,2021,очная,Информатика и вычислительная техника,"Воронеж, ул. Школьная, д. 142, кв. 14",+375102359437,74.3,,,72.0,60.0,,,61.9,64.63333333333334,69.0
Соколов Илья Денисович,М,2021,заочная,Химия,"Москва, ул. Центральная, д. 52, кв. 159",+375391257786,73.9,66.7,80.6,,,59.7,,,69.0,71.9
Кузнецов Максим Михайлович,М,2021,очная,Биология,"Краснодар, ул. Победы, д. 163, кв. 181",+375176726982,79.5,59.1,,57.6,55.1,,,,57.26666666666667,63.9
Иванов Сергей Иванович,М,2021,очно-заочная,Физика,"Нижний Новгород, ул. Пролетарская, д. 140, кв. 190",+375951144616,73.3,,,59.0,48.1,72.6,,,59.9,65.2
Иванов Егор Иванович,М,2021,очная,Физика,"Самара, ул. Победы, д. 199, кв. 186",+375457936591,70.8,71.3,53.6,,43.4,,,,56.1,59.3
Фёдорова Виктория Алексеевна,Ж,2021,очно-заочная,Биология,"Екатеринбург, ул. Центральная, д. 115, кв. 46",+375798493572,74.3,62.6,,64.5,,58.5,,,61.86666666666667,67.6
Медведева Анна Петровна,Ж,2021,очная,Химия,"Санкт-Петербург, ул. Мира, д. 45, кв. 189",+375903308245,69.5,72.0,78.6,,,,,61.9,70.83333333333333,72.2
Морозова Екатерина Петровна,Ж,2021,заочная,Прикладная математика,"Пермь, ул. Советская, д. 97, кв. 11",+375752503569,88.5,69.6,,,40.2,,67.6,,59.133333333333326,70.1
Соколов Сергей Петрович,М,2021,очная,Информатика и вычислительная техника,"Воронеж, ул. Центральная, д. 143, кв. 68",+375286010886,81.0,,57.3,,,,55.8,51.5,54.86666666666667,64.1
Кузнецов Роман Иванович,М,2021,очная,Химия,"Новосибирск, ул. Мира, д. 150, кв. 66",+375924368178,87.1,60.6,,59.2,,,,53.7,57.833333333333336,69.0
Морозова Виктория Владимировна,Ж,2021,очная,История,"Москва, ул. Школьная, д. 120, кв. 182",+375998968823,80.3,84.8,,,,,86.6,48.3,73.23333333333333,75.0
Баранова Виктория Никитична,Ж,2021,очная,Экономика,"Новосибирск, ул. Ленина, д. 40, кв. 83",+375192445660,86.5,63.0,,,64.2,,59.6,,62.26666666666667,71.3
Павлова Ирина Никитична,Ж,2021,очная,Медицинская биохимия,"Самара, ул. Ленина, д. 199, кв. 161",+375189150212,79.6,62.1,,,,69.0,,57.8,62.96666666666666,69.7
Кузьмина Ольга Владимировна,Ж,2021,очная,Биология,"Самара, ул. Центральная, д. 126, кв. 147",+375495893651,81.8,,,42.1,,,88.2,40.0,56.76666666666667,64.1
Смирнов Максим Денисович,М,2021,заочная,Экономика,"Пермь, ул. Школьная, д. 19, кв. 182",+375976670073,64.6,,57.5,40.0,,,,60.8,52.76666666666667,55.5
Морозова Александра Ивановна,Ж,2021,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Строителей, д. 57, кв. 48",+375474935469,71.9,55.6,71.1,,60.0,,,,62.23333333333333,66.5
Новиков Михаил Петрович,М,2021,очная,Физика,"Пермь, ул. Советская, д. 130, кв. 41",+375634233294,77.6,67.8,,60.1,,,,55.8,61.23333333333333,66.7
Козлов Дмитрий Сергеевич,М,2021,очная,Медицинская биохимия,"Воронеж, ул. Строителей, д. 138, кв. 104",+375463385315,77.8,55.4,53.6,,,62.2,,,57.06666666666666,65.9
Смирнов Андрей Алексеевич,М,2021,очно-заочная,Экономика,"Санкт-Петербург, ул. Школьная, д. 57, кв. 55",+375145326153,76.9,,,,,61.5,66.0,65.8,64.43333333333334,68.0
Петров Егор Сергеевич,М,2021,очная,Прикладная математика,"Нижний Новгород, ул. Школьная, д. 93, кв. 76",+375533386225,80.1,70.4,,,52.8,,,74.3,65.83333333333333,69.0
Кузьмина Александра Алексеевна,Ж,2021,очная,Экономика,"Екатеринбург, ул. Пролетарская, д. 136, кв. 122",+375538383114,80.4,59.1,,,,68.7,58.5,,62.1,69.1
Козлов Михаил Михайлович,М,2021,очная,История,"Пермь, ул. Ленина, д. 30, кв. 172",+375364593198,82.6,70.3,,,72.7,,,70.0,71.0,75.8
Козлов Роман Иванович,М,2021,очно-заочная,Физика,"Нижний Новгород, ул. Зелёная, д. 62, кв. 165",+375963292842,81.4,79.8,,58.7,,,69.9,,69.46666666666667,73.9
Кузьмина Светлана Петровна,Ж,2021,очно-заочная,Биология,"Самара, ул. Пролетарская, д. 63, кв. 11",+375413911706,84.6,65.7,50.4,,,,,59.7,58.6,68.4
Смирнов Максим Петрович,М,2021,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Новая, д. 30, кв. 99",+375470643691,84.7,71.5,,,47.4,,,53.2,57.366666666666674,67.0
Козлов Дмитрий Алексеевич,М,2021,заочная,Биология,"Казань, ул. Строителей, д. 186, кв. 73",+375000496197,78.4,,,81.9,51.7,49.3,,,60.966666666666676,67.8
Кузьмина Ирина Сергеевна,Ж,2021,заочная,Медицинская биохимия,"Москва, ул. Строителей, д. 198, кв. 96",+375329712290,89.9,60.6,,,,,63.5,80.5,68.2,74.0
Кузнецов Егор Михайлович,М,2021,очная,Информатика и вычислительная техника,"Пермь, ул. Строителей, д. 115, кв. 125",+375510153589,85.6,65.3,,64.4,,64.4,,,64.7,71.5
Лебедев Андрей Михайлович,М,2021,заочная,Химия,"Москва, ул. Центральная, д. 167, кв. 50",+375970785945,72.6,,,,60.5,,60.4,79.5,66.8,67.7
Петров Александр Владимирович,М,2021,очная,Прикладная математика,"Нижний Новгород, ул. Строителей, д. 22, кв. 25",+375583181981,79.8,70.3,,,52.2,61.7,,,61.4,66.2
Иванов Илья Иванович,М,2021,очная,Химия,"Новосибирск, ул. Строителей, д. 137, кв. 2",+375789898136,66.3,,45.3,,,47.5,70.4,,54.4,57.5
Васильева Александра Михайловна,Ж,2021,очная,Химия,"Санкт-Петербург, ул. Победы, д. 172, кв. 162",+375102375181,67.4,60.3,,,68.6,,60.7,,63.19999999999999,63.4
Фёдорова Екатерина Владимировна,Ж,2021,очная,Биология,"Екатеринбург, ул. Новая, д. 27, кв. 53",+375436749417,74.4,,,,58.4,65.6,,57.9,60.63333333333333,67.3
Соколова Светлана Петровна,Ж,2021,очная,Медицинская биохимия,"Пермь, ул. Новая, д. 166, кв. 19",+375195753353,72.1,69.4,,55.7,,62.8,,,62.63333333333333,65.1
Васильева Мария Ивановна,Ж,2021,заочная,Прикладная математика,"Новосибирск, ул. Ленина, д. 118, кв. 184",+375780331526,74.4,73.6,,,,,57.8,68.0,66.46666666666665,68.2
Баранова Александра Алексеевна,Ж,2021,очная,Экономика,"Нижний Новгород, ул. Ленина, д. 23, кв. 19",+375434726506,79.4,,,72.5,42.6,55.4,,,56.833333333333336,66.1
Сидоров Никита Иванович,М,2021,очная,Информатика и вычислительная техника,"Москва, ул. Мира, д. 65, кв. 143",+375608514367,84.8,63.1,65.3,,,70.7,,,66.36666666666667,72.5
Соловьёва Ирина Ивановна,Ж,2021,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Пролетарская, д. 59, кв. 67",+375042025673,84.4,45.6,,,,72.8,,81.6,66.66666666666667,72.6
Павлова Александра Сергеевна,Ж,2021,заочная,История,"Воронеж, ул. Новая, д. 116, кв. 162",+375248585148,79.9,51.2,,,,62.6,68.4,,60.73333333333334,67.2
Соловьёва Мария Владимировна,Ж,2021,очная,Физика,"Воронеж, ул. Новая, д. 81, кв. 5",+375760366575,70.9,,56.7,,,62.7,,65.1,61.5,64.5
Васильева Виктория Сергеевна,Ж,2021,очная,История,"Воронеж, ул. Советская, д. 137, кв. 2",+375923209400,74.1,,79.5,,,51.1,70.5,,67.03333333333333,68.8
Сидоров Максим Владимирович,М,2021,очная,Экономика,"Самара, ул. Советская, д. 194, кв. 191",+375135720224,81.2,,,66.4,68.6,,,59.1,64.7,69.6
Сидоров Александр Никитич,М,2021,очная,История,"Самара, ул. Ленина, д. 180, кв. 19",+375338632525,72.4,,,,58.7,72.7,96.3,,75.89999999999999,76.2
Кузнецов Никита Михайлович,М,2021,заочная,Информатика и вычислительная техника,"Нижний Новгород, ул. Строителей, д. 28, кв. 75",+375853452737,69.8,,85.0,,66.8,,64.4,,72.06666666666668,69.9
Петров Максим Владимирович,М,2021,заочная,Биология,"Казань, ул. Пролетарская, д. 23, кв. 73",+375992968372,80.4,60.4,52.1,,,,72.7,,61.73333333333333,67.0
Фёдорова Анна Сергеевна,Ж,2021,очная,Химия,"Краснодар, ул. Новая, д. 102, кв. 170",+375626995125,77.1,,66.0,69.3,,67.8,,,67.7,71.3
Фёдорова Ольга Никитична,Ж,2021,заочная,Медицинская биохимия,"Москва, ул. Зелёная, д. 41, кв. 137",+375350902773,76.1,,,82.1,66.0,53.6,,,67.23333333333333,69.7
Кузнецов Илья Сергеевич,М,2021,очная,Химия,"Екатеринбург, ул. Мира, д. 192, кв. 101",+375576638952,84.1,,,65.2,,56.7,93.4,,71.76666666666667,75.8
Кузнецов Александр Владимирович,М,2021,заочная,Химия,"Пермь, ул. Центральная, д. 163, кв. 37",+375444788558,83.9,,64.0,,,,49.5,81.3,64.93333333333334,72.8
Смирнов Егор Петрович,М,2021,очная,Прикладная математика,"Казань, ул. Школьная, д. 3, кв. 142",+375353069586,88.1,,,84.7,54.7,66.1,,,68.5,77.0
Попов Илья Владимирович,М,2021,очная,Информатика и вычислительная техника,"Пермь, ул. Мира, д. 32, кв. 11",+375618985203,73.5,,,49.7,,,64.6,74.0,62.76666666666667,67.7
Попов Андрей Иванович,М,2021,очная,Экономика,"Москва, ул. Пролетарская, д. 153, кв. 101",+375202378259,80.0,55.1,,,,62.9,76.7,,64.89999999999999,69.1
Смирнов Дмитрий Алексеевич,М,2021,очно-заочная,Экономика,"Пермь, ул. Строителей, д. 22, кв. 79",+375453956896,77.5,,71.7,,,,74.4,46.5,64.2,70.8
Кузьмина Виктория Ивановна,Ж,2021,очная,Медицинская биохимия,"Екатеринбург, ул. Школьная, д. 55, кв. 106",+375501089986,79.4,62.9,61.6,,,58.1,,,60.86666666666667,66.8
Новиков Дмитрий Владимирович,М,2021,очная,Биология,"Пермь, ул. Мира, д. 42, кв. 48",+375153004130,70.6,64.9,,,,60.1,,60.3,61.76666666666667,63.5
Попов Егор Владимирович,М,2021,очная,Прикладная математика,"Екатеринбург, ул. Пролетарская, д. 65, кв. 50",+375359306182,69.0,,53.9,64.8,61.9,,,,60.199999999999996,63.3
Медведева Виктория Петровна,Ж,2021,очно-заочная,Физика,"Санкт-Петербург, ул. Мира, д. 172, кв. 146",+375772313812,77.2,,68.8,,,,74.6,65.5,69.63333333333333,73.2
Новиков Никита Сергеевич,М,2021,очная,Биология,"Москва, ул. Строителей, д. 119, кв. 166",+375340696835,72.3,64.7,,57.0,,,,71.9,64.53333333333335,65.6
Соколова Ирина Владимировна,Ж,2021,очно-заочная,История,"Пермь, ул. Советская, д. 75, кв. 172",+375131946099,83.0,,71.2,,40.8,,44.7,,52.23333333333333,63.5
Медведева Анна Сергеевна,Ж,2021,заочная,Биология,"Санкт-Петербург, ул. Центральная, д. 26, кв. 51",+375695577524,68.4,,,,58.2,,60.1,65.5,61.26666666666667,65.2
Соколов Егор Петрович,М,2021,очная,Биология,"Самара, ул. Зелёная, д. 85, кв. 92",+375148909456,68.9,,,74.2,,66.8,50.6,,63.86666666666667,64.7
Новиков Егор Никитич,М,2021,очно-заочная,Химия,"Новосибирск, ул. Победы, д. 26, кв. 73",+375854604136,74.9,,,,,56.1,72.5,80.9,69.83333333333333,72.4
Смирнов Дмитрий Михайлович,М,2021,очная,Биология,"Самара, ул. Советская, д. 50, кв. 82",+375451261549,68.2,,,60.0,,72.4,,80.8,71.06666666666666,69.7
Попов Никита Владимирович,М,2021,заочная,Экономика,"Краснодар, ул. Зелёная, д. 85, кв. 158",+375093130175,87.5,,48.9,71.0,71.8,,,,63.9,71.8
