ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении,Поступил
Соловьев Вацлав Григориевич,М,2021,очно-заочная,Физика,"к. Мценск, ул. пр. Коминтерна, д. 21, кв. 58",80053759900,78.6,80.4,65.6,,,,68.1,,71.36666666666666,73.3,True
Кудрявцева Полина Осиповна,Ж,2021,заочная,Медицинская биохимия,"г. Карабулак, ул. наб. Казанская, д. 36, кв. 239",+78964652809,81.8,,63.1,,75.1,,,72.0,70.06666666666666,75.8,True
Сидорова Валентина Юлиановна,Ж,2021,очно-заочная,История,"г. Кош-Агач, ул. алл. Гоголя, д. 5/3, кв. 68",+74287572158,78.4,48.6,,42.6,55.9,,,,49.03333333333333,59.7,False
Пономарев Евсей Виссарионович,М,2021,заочная,История,"п. Всеволожск, ул. ул. Мичурина, д. 77, кв. 130",82415027456,76.7,57.3,65.6,79.8,,,,,67.56666666666666,69.1,True
Рябов Никодим Ратмирович,М,2021,очно-заочная,Прикладная математика,"ст. Ульяновск, ул. ш. Береговое, д. 385, кв. 146",+74948562572,75.6,64.5,,,,67.7,,65.1,65.76666666666667,69.0,True
Терентьев Евграф Мартьянович,М,2021,очная,Прикладная математика,"с. Череповец, ул. ул. Амурская, д. 577, кв. 17",87032032074,68.5,76.4,58.2,,,,62.6,,65.73333333333333,67.7,True
Симонов Велимир Павелович,М,2021,заочная,Информатика и вычислительная техника,"к. Калач, ул. ул. Дружбы, д. 15, кв. 40",+77617075877,73.1,,,,66.7,,57.2,82.7,68.86666666666667,71.5,True
Гущина Алина Харитоновна,Ж,2021,очная,Химия,"д. Ноябрьск, ул. ул. Ростовская, д. 58, кв. 109",81215134228,74.6,70.4,,,,67.6,71.6,,69.86666666666666,71.5,True
Мамонтов Владилен Радимович,М,2021,очно-заочная,Экономика,"к. Иркутск, ул. пр. Луначарского, д. 43, кв. 35",+79939089261,83.7,63.5,,76.2,,54.8,,,64.83333333333333,73.0,True
Прохоров Ратмир Харитонович,М,2021,очно-заочная,История,"д. Кировск (Ленин.), ул. ул. Геологическая, д. 725, кв. 147",+77150416591,79.5,,54.6,,,59.1,,67.2,60.300000000000004,66.1,True
Кузьмин Силантий Сигизмундович,М,2021,очная,Химия,"п. Карабулак, ул. ул. Угловая, д. 533, кв. 105",82017774905,66.8,73.4,,,72.2,,,62.3,69.30000000000001,68.1,False
Лобанова Агата Анисимовна,Ж,2021,очно-заочная,Прикладная математика,"с. Борзя, ул. бул. Красногвардейский, д. 8/6, кв. 239",+79759230450,79.3,72.0,,65.8,,,,82.5,73.43333333333334,77.1,True
Колобова Таисия Пименовна,Ж,2021,заочная,Физика,"с. Ростов, ул. алл. Дружба, д. 6, кв. 64",+78961642361,75.1,65.9,,,90.2,43.6,,,66.56666666666668,71.1,True
Трофимова Фаина Симоновна,Ж,2021,заочная,Прикладная математика,"п. Лабинск, ул. бул. Степана Разина, д. 20, кв. 242",+73266421476,73.3,74.2,,,,69.9,68.7,,70.93333333333334,72.5,True
Шубина Дарья Фоковна,Ж,2021,очно-заочная,Физика,"п. Черемхово, ул. пер. Отрадный, д. 3/4, кв. 8",+79251583776,81.1,58.3,,,,53.1,,67.9,59.76666666666667,68.7,True
Гурьев Дементий Владимирович,М,2021,очно-заочная,Медицинская биохимия,"к. Гусь-Хрустальный, ул. ул. Полярная, д. 8, кв. 18",84996165926,83.6,,61.8,,,59.5,,59.2,60.166666666666664,66.7,False
Колесникова Валентина Эмилевна,Ж,2021,очно-заочная,Экономика,"г. Сергиев Посад, ул. бул. Тополиный, д. 52, кв. 14",81085732788,83.0,,,78.1,69.6,,65.6,,71.1,76.7,True
Бобылева Элеонора Любимовна,Ж,2021,очно-заочная,Медицинская биохимия,"г. Санкт-Петербург, ул. ш. Красных Партизан, д. 9, кв. 119",+74761742243,72.4,,,,,80.3,49.2,64.8,64.76666666666667,66.7,False
Бобылев Силантий Несторович,М,2021,заочная,Прикладная математика,"ст. Сортавала, ул. бул. Мая 1, д. 5, кв. 106",86490810818,75.5,,58.6,62.4,67.0,,,,62.666666666666664,65.9,True
Кошелева Наина Ипатовна,Ж,2021,заочная,Информатика и вычислительная техника,"д. Шаховская, ул. ш. Казанское, д. 1, кв. 99",86179454918,79.4,,,,59.2,67.4,58.8,,61.800000000000004,66.9,True
Афанасьев Кир Мефодиевич,М,2021,очно-заочная,Прикладная математика,"клх Урай, ул. алл. Гончарова, д. 37, кв. 87",+71722601645,83.3,,54.4,59.3,,,67.5,,60.4,68.1,True
Савельев Куприян Всеволодович,М,2021,очная,История,"п. Ельня, ул. наб. Дорожная, д. 7, кв. 101",87794523219,74.5,73.5,86.1,,,,,62.0,73.86666666666666,73.1,True
Тихонов Всеслав Эрастович,М,2021,очная,Прикладная математика,"клх Красноселькуп, ул. пер. Братский, д. 47, кв. 161",+71680061027,76.3,65.3,,56.0,,,,71.7,64.33333333333333,67.8,True
Петухов Соломон Трофимович,М,2021,заочная,История,"с. Хужир, ул. ш. Магистральное, д. 31, кв. 22",86974995641,70.8,53.4,43.9,,,,,45.6,47.63333333333333,54.3,False
Кулакова Лариса Фадеевна,Ж,2021,очная,Медицинская биохимия,"г. Голицыно, ул. пер. Л.Толстого, д. 935, кв. 107",+72031030372,70.2,57.7,,,,76.1,87.4,,73.73333333333333,71.7,True
Медведева Екатерина Епифановна,Ж,2021,очно-заочная,Информатика и вычислительная техника,"клх Бугульма, ул. пр. Клубный, д. 5/1, кв. 205",+76831472760,82.3,78.9,,,,70.1,,55.9,68.3,73.5,True
Кулакова Юлия Корниловна,Ж,2021,очная,Химия,"д. Ейск, ул. наб. Крайняя, д. 6, кв. 46",+72277707933,85.5,85.1,,87.7,,,,71.6,81.46666666666667,82.6,True
Русаков Мечислав Власович,М,2021,заочная,Медицинская биохимия,"клх Выборг, ул. пр. Кузнечный, д. 32, кв. 232",+79605016679,77.0,79.2,76.5,,,,73.3,,76.33333333333333,76.0,True
Овчинникова Дарья Титовна,Ж,2021,очно-заочная,Медицинская биохимия,"с. Красноселькуп, ул. алл. Проточная, д. 3/3, кв. 6",88407678997,83.4,60.6,62.8,59.3,,,,,60.9,69.8,True
Рогов Любомир Викторович,М,2021,очно-заочная,Прикладная математика,"ст. Льгов, ул. алл. Средняя, д. 762, кв. 174",+70806958146,79.6,70.0,,,62.2,56.6,,,62.93333333333333,70.3,True
Шилов Милован Самуилович,М,2021,заочная,Биология,"клх Крымск, ул. пер. Кошевого, д. 13, кв. 178",81795760243,73.5,,,69.1,83.6,,,63.7,72.13333333333333,73.6,True
Дроздов Фортунат Панкратиевич,М,2021,очная,Физика,"п. Льгов, ул. наб. Дружбы, д. 1/5, кв. 129",85738395972,79.6,50.2,,56.4,,64.9,,,57.166666666666664,64.3,False
Дмитриева Синклитикия Панфиловна,Ж,2021,заочная,Медицинская биохимия,"д. Шатой, ул. пер. Тургенева, д. 147, кв. 206",+76657293417,86.6,67.7,,,44.6,67.7,,,60.0,70.3,True
Галкина Агафья Вацлавовна,Ж,2021,заочная,Физика,"г. Озеры, ул. пер. Репина, д. 2, кв. 157",+72329716743,77.2,50.3,,72.5,,,79.7,,67.5,69.5,True
Щербакова Алевтина Галактионовна,Ж,2021,очная,Физика,"п. Северобайкальск, ул. пр. Иркутский, д. 76, кв. 163",+78005452280,86.8,,,,80.9,,70.6,80.5,77.33333333333333,79.2,True
Агафонов Аполлинарий Аполлонович,М,2021,очно-заочная,Химия,"п. Шатки, ул. бул. Крупской, д. 4/5, кв. 48",+75619318374,61.7,62.2,,56.9,,55.8,,,58.29999999999999,58.9,False
Федотов Евстигней Гостомыслович,М,2021,очная,Химия,"с. Соль-Илецк, ул. наб. Стахановская, д. 35, кв. 5",85084289107,82.3,,83.0,,75.7,82.9,,,80.53333333333333,82.4,True
Федосеева Ия Ипатиевна,Ж,2021,очная,Химия,"г. Петрозаводск, ул. наб. Народная, д. 39, кв. 8",81199180812,77.9,55.7,61.2,,,,,57.4,58.1,64.0,False
Дьячков Галактион Аркадиевич,М,2021,очно-заочная,Экономика,"д. Ербогачен, ул. алл. Февральская, д. 715, кв. 56",+73524787125,75.6,43.2,,68.2,,,64.3,,58.56666666666666,62.8,True
Ершова Кира Титовна,Ж,2021,очно-заочная,Физика,"п. Чокурдах, ул. наб. Куйбышева, д. 4/7, кв. 63",82137603754,78.0,,,73.0,44.3,,,56.7,58.0,63.5,False
Ефимова Александра Радиславовна,Ж,2021,заочная,Прикладная математика,"клх Елатьма, ул. бул. Глинки, д. 59, кв. 171",82145653286,65.5,,40.0,56.1,53.2,,,,49.76666666666667,56.7,False
Горбачева Валентина Феликсовна,Ж,2021,очная,Физика,"г. Рыбинск, ул. пр. Фабричный, д. 5, кв. 160",+72666785072,76.1,,82.6,,80.8,,,62.9,75.43333333333332,76.2,True
Кононов Захар Феликсович,М,2021,очно-заочная,Медицинская биохимия,"клх Усть-Илимск, ул. наб. Фестивальная, д. 23, кв. 58",+78115562606,79.5,,,63.8,70.8,,55.0,,63.199999999999996,67.9,True
Фролова Мария Сократовна,Ж,2021,очная,Химия,"г. Кущевская, ул. пер. Вольный, д. 21, кв. 46",+72908466845,86.3,73.4,,66.0,,51.4,,,63.6,71.8,True
Шубин Константин Анисимович,М,2021,очная,Медицинская биохимия,"г. Иваново, ул. ш. Магистральное, д. 5, кв. 131",80489267389,74.3,,,64.5,74.3,,61.2,,66.66666666666667,69.4,True
Колесников Наум Панкратиевич,М,2021,очно-заочная,Химия,"клх Объячево, ул. пер. Сенной, д. 9/7, кв. 138",87563410856,72.5,50.9,55.3,,,,66.7,,57.633333333333326,63.5,False
Меркушева Лариса Устиновна,Ж,2021,очно-заочная,Экономика,"с. Макушино, ул. ул. Крайняя, д. 585, кв. 143",+78843188485,74.4,,,53.1,68.9,,,72.6,64.86666666666666,67.1,True
Попова Алла Ипатиевна,Ж,2021,очная,Прикладная математика,"с. Миллерово, ул. наб. Запрудная, д. 306, кв. 146",+70089434681,82.9,,,76.6,,65.6,67.6,,69.93333333333332,75.9,True
Орехова Евпраксия Прововна,Ж,2021,очно-заочная,История,"с. Туапсе, ул. пр. Владимирский, д. 9, кв. 84",+75485101749,79.4,,,,69.4,60.3,,40.0,56.56666666666666,63.8,False
Сысоева Елена Модестовна,Ж,2021,очная,Химия,"клх Петушки, ул. наб. Маркса, д. 2, кв. 153",+77539989354,74.2,74.7,65.8,,,63.2,,,67.89999999999999,70.9,False
Некрасов Харитон Эрастович,М,2021,очно-заочная,Биология,"клх Губкинский, ул. алл. Чапаева, д. 31, кв. 184",+79268315893,80.5,53.8,74.0,,,49.9,,,59.23333333333333,64.7,False
Носов Евсей Евлампиевич,М,2021,заочная,Экономика,"ст. Долинск, ул. алл. Линейная, д. 12, кв. 79",87126611062,78.0,,49.5,,68.6,,75.1,,64.39999999999999,68.7,True
Третьякова Кира Демьяновна,Ж,2021,очно-заочная,Биология,"г. Лодейное Поле, ул. алл. Прудная, д. 51, кв. 188",83715869886,83.2,,,59.8,,65.0,54.8,,59.86666666666667,67.4,True
Герасимов Афиноген Дементиевич,М,2021,очная,Экономика,"д. Хасан, ул. ш. Боровое, д. 879, кв. 40",+79767762282,73.2,43.9,76.2,,54.4,,,,58.166666666666664,63.6,True
Ковалев Софон Наркисович,М,2021,очно-заочная,Прикладная математика,"д. Шуя, ул. пер. Литейный, д. 428, кв. 29",87288137702,75.4,68.2,,56.9,,,72.5,,65.86666666666666,67.5,True
Котов Андрон Клавдиевич,М,2021,очная,Физика,"г. Кемерово, ул. пр. Челюскинцев, д. 1/3, кв. 181",85196115940,75.0,68.2,,,62.3,,,55.2,61.9,67.6,True
Белоусов Федор Владиславович,М,2021,очно-заочная,Химия,"г. Адыгейск, ул. наб. Курортная, д. 68, кв. 50",82154544702,68.6,,75.0,,56.3,,,69.2,66.83333333333333,66.3,False
Логинов Гостомысл Ираклиевич,М,2021,очная,Информатика и вычислительная техника,"п. Владикавказ, ул. ул. Космонавтов, д. 552, кв. 63",+79604432701,79.2,,,48.3,62.6,,,55.0,55.300000000000004,64.4,True
Суханова Агата Рубеновна,Ж,2021,очная,Медицинская биохимия,"д. Абинск, ул. наб. Алтайская, д. 3/1, кв. 16",85106794975,79.0,69.7,40.0,,,70.7,,,60.13333333333333,67.9,True
Волков Герман Герасимович,М,2021,очно-заочная,История,"с. Тында, ул. бул. Космодемьянской, д. 77, кв. 239",87922877725,77.4,42.8,,54.4,69.5,,,,55.56666666666666,63.5,False
Кириллова Лидия Антониновна,Ж,2021,очная,Медицинская биохимия,"ст. Кинешма, ул. алл. Ясная, д. 4/4, кв. 209",+79966365807,76.0,60.6,60.0,,79.7,,,,66.76666666666667,71.0,True
Одинцова Эмилия Ладиславовна,Ж,2021,заочная,История,"с. Великий Устюг, ул. пер. Луначарского, д. 386, кв. 102",+71209481813,68.9,78.2,,,,,66.2,60.9,68.43333333333334,69.2,True
Вишнякова Пелагея Филипповна,Ж,2021,заочная,Экономика,"г. Котлас, ул. пр. Маяковского, д. 401, кв. 40",88909837801,74.9,56.8,,,,55.7,50.7,,54.4,61.0,True
Ефимова Таисия Афанасиевна,Ж,2021,очно-заочная,История,"п. Кингисепп, ул. бул. Амурский, д. 488, кв. 90",82043397189,75.3,,,70.2,63.3,,84.2,,72.56666666666666,74.8,True
Назаров Лукьян Ефимович,М,2021,очная,Медицинская биохимия,"с. Шатура, ул. бул. Светлый, д. 6/1, кв. 104",86907056260,72.6,45.5,,65.1,65.1,,,,58.56666666666666,62.7,False
Галкин Доброслав Артемович,М,2021,очная,Физика,"с. Орехово-Зуево, ул. ул. Московская, д. 6/3, кв. 2",85641118242,76.4,,70.3,59.2,,,,65.0,64.83333333333333,69.2,True
Яковлева Прасковья Павеловна,Ж,2021,очная,Химия,"ст. Курган, ул. алл. Линейная, д. 87, кв. 245",+74124620952,79.8,66.1,,,99.8,,,57.7,74.53333333333332,77.4,True
Белякова София Олимпиевна,Ж,2021,очно-заочная,История,"г. Сковородино, ул. пер. Заозерный, д. 7, кв. 149",+70461526546,88.7,79.8,,56.3,,,68.8,,68.3,75.0,True
Шестаков Вадим Ефремович,М,2021,очно-заочная,Биология,"д. Малая Вишера, ул. наб. Машиностроителей, д. 30, кв. 180",+70339937886,78.4,,,54.4,76.3,,,61.1,63.93333333333333,68.2,True
Нестерова Екатерина Максимильяновна,Ж,2021,заочная,Экономика,"с. Нягань, ул. бул. Маркса, д. 3/6, кв. 148",+74057861706,78.9,,,,77.2,78.0,57.8,,71.0,73.6,True
Денисова Лора Куприяновна,Ж,2021,очная,История,"п. Муравленко, ул. пр. Логовой, д. 9, кв. 152",+70489138249,77.0,,,67.7,,81.1,,76.2,75.0,77.0,True
Селиверстов Ерофей Янович,М,2021,заочная,Физика,"к. Мурманск, ул. алл. Абрикосовая, д. 1/8, кв. 189",87183258238,65.9,,,,72.0,60.4,53.2,,61.866666666666674,65.0,True
Мухина Светлана Феликсовна,Ж,2021,очно-заочная,Медицинская биохимия,"п. Челюскин, ул. ш. Солнечное, д. 5/8, кв. 37",88700794200,77.2,,,,,64.4,63.5,70.4,66.10000000000001,70.2,True
Андреев Авксентий Миланович,М,2021,очно-заочная,История,"с. Чита, ул. наб. Светлая, д. 7/8, кв. 6",84946539840,77.8,,,51.7,,71.4,,84.2,69.10000000000001,72.8,True
Журавлева Нонна Юриевна,Ж,2021,заочная,Химия,"д. Шали, ул. пр. Дзержинского, д. 5/9, кв. 91",+78914161284,92.2,67.2,,,75.4,51.4,,,64.66666666666667,75.9,True
Николаев Януарий Андронович,М,2021,очная,Экономика,"с. Кыштым, ул. ул. Каштановая, д. 2, кв. 106",83985547435,76.2,58.4,51.7,,,,65.5,,58.53333333333333,63.1,True
Щербаков Любим Викентиевич,М,2021,очная,Биология,"п. Лысьва, ул. ш. Гафури, д. 4, кв. 103",83795020970,79.2,66.8,,,71.9,,71.6,,70.1,72.2,True
Сидорова Мария Тимуровна,Ж,2021,очная,История,"с. Лянтор, ул. ш. Береговое, д. 5, кв. 81",+72687681180,77.2,77.3,,,88.9,,74.6,,80.26666666666667,80.0,True
Козлов Кондрат Софронович,М,2021,очно-заочная,Медицинская биохимия,"ст. Шенкурск, ул. алл. Льва Толстого, д. 252, кв. 214",81569562017,70.4,67.6,,,56.6,,,70.3,64.83333333333333,68.1,True
Копылов Мстислав Симонович,М,2021,очная,Химия,"п. Петрозаводск, ул. алл. Гафури, д. 566, кв. 142",83703045319,84.3,,57.8,,72.1,,,70.3,66.73333333333333,74.3,True
Мартынова Нонна Аникеевна,Ж,2021,очная,Медицинская биохимия,"г. Урюпинск, ул. алл. Поперечная, д. 6, кв. 134",+73375047930,81.9,,,74.8,,50.0,,74.7,66.5,71.6,True
Самсонов Лавр Евдокимович,М,2021,заочная,История,"ст. Кижи, ул. ул. Окружная, д. 557, кв. 171",+76149872839,82.1,,61.0,,,79.5,43.8,,61.43333333333334,67.0,True
Копылов Любим Борисович,М,2021,заочная,Прикладная математика,"д. Шали, ул. бул. Монтажников, д. 2, кв. 142",89219212493,71.9,75.8,,,64.5,,,58.0,66.10000000000001,67.9,True
Сергеева Антонина Тимофеевна,Ж,2021,заочная,Биология,"с. Ковров, ул. ул. Учительская, д. 6/1, кв. 13",84308948706,85.8,61.0,,,,51.6,67.4,,60.0,68.0,True
Иванова Синклитикия Ярославовна,Ж,2021,заочная,Физика,"п. Баргузин, ул. бул. Мелиораторов, д. 7/2, кв. 152",+75664187758,69.0,73.7,,,62.0,,,62.5,66.06666666666666,66.3,True
Никитин Артемий Ермилович,М,2021,очно-заочная,Информатика и вычислительная техника,"клх Карабудахкент, ул. ул. Фурманова, д. 5/2, кв. 143",+73046875063,80.9,,,,78.8,62.5,56.5,,65.93333333333334,72.3,True
Щукин Парамон Василиевич,М,2021,очная,Экономика,"ст. Хабаровск, ул. алл. Бабушкина, д. 7, кв. 115",81903613325,90.5,77.8,,,,,77.5,56.5,70.60000000000001,75.9,True
Белякова Евфросиния Платоновна,Ж,2021,очно-заочная,Биология,"д. Сочи, ул. бул. Степной, д. 387, кв. 107",+71107609543,71.5,70.2,,72.1,,63.2,,,68.5,70.9,True
Дементьева Анжела Герасимовна,Ж,2021,очная,Экономика,"г. Гаврилов-Ям, ул. бул. Одесский, д. 6/2, кв. 13",+77350583199,74.0,53.1,61.8,66.3,,,,,60.4,64.9,True
Рыбаков Аким Максимильянович,М,2021,очно-заочная,Химия,"к. Магнитогорск, ул. наб. Калужская, д. 19, кв. 101",81791100651,78.0,55.6,,51.2,,,,73.8,60.20000000000001,66.8,False
Беляев Андрей Афанасиевич,М,2021,очная,Прикладная математика,"к. Нерчинск, ул. пр. Юности, д. 3, кв. 78",+70704961108,74.4,,,71.2,,,63.2,65.2,66.53333333333335,67.6,True
Борисов Аполлинарий Ипатиевич,М,2021,очная,Медицинская биохимия,"с. Дмитров, ул. ш. Подлесное, д. 755, кв. 224",+74661963990,68.1,,,,70.7,60.4,,73.9,68.33333333333333,67.6,True
Богданов Федосий Фирсович,М,2021,очная,Экономика,"п. Можга, ул. пр. Водопроводный, д. 22, кв. 156",86769915078,77.8,,81.3,60.3,51.0,,,,64.2,67.3,True
